
使用中連線

  協定   本機位址               外部位址               狀態            PID
  UDP    0.0.0.0:60994          *:*                                    45492
  UDP    0.0.0.0:60996          *:*                                    68988
  UDP    0.0.0.0:60997          *:*                                    68988
  UDP    0.0.0.0:62516          *:*                                    68988
  UDP    0.0.0.0:62517          *:*                                    45492
  UDP    0.0.0.0:62519          *:*                                    68988
  UDP    0.0.0.0:62520          *:*                                    68988
  UDP    0.0.0.0:62521          *:*                                    51800
  UDP    0.0.0.0:62522          *:*                                    51800
  UDP    0.0.0.0:63572          *:*                                    67500
  UDP    0.0.0.0:63573          *:*                                    67500
  UDP    127.0.0.1:1900         *:*                                    11556
  UDP    127.0.0.1:2921         *:*                                    45492
  UDP    127.0.0.1:2922         *:*                                    68988
  UDP    127.0.0.1:2923         *:*                                    51800
  UDP    127.0.0.1:2924         *:*                                    67500
  UDP    127.0.0.1:2925         *:*                                    64548
  UDP    127.0.0.1:12000        *:*                                    45492
  UDP    127.0.0.1:12010        *:*                                    68988
  UDP    127.0.0.1:12020        *:*                                    51800
  UDP    127.0.0.1:12030        *:*                                    67500
  UDP    127.0.0.1:12040        *:*                                    64548
  UDP    127.0.0.1:58759        *:*                                    11556
  UDP    127.0.0.1:63491        *:*                                    3852
  UDP    192.168.2.103:137      *:*                                    4
  UDP    192.168.2.103:138      *:*                                    4
  UDP    192.168.2.103:1900     *:*                                    11556
  UDP    192.168.2.103:2177     *:*                                    18204
  UDP    192.168.2.103:5353     *:*                                    4152
  UDP    192.168.2.103:58758    *:*                                    11556
  UDP    192.168.2.103:62523    *:*                                    12704
  UDP    [::]:5353              *:*                                    12704
  UDP    [::]:5353              *:*                                    13956
  UDP    [::]:5353              *:*                                    13956
  UDP    [::]:5353              *:*                                    1504
  UDP    [::]:5355              *:*                                    1504
  UDP    [::]:51127             *:*                                    4152
  UDP    [::1]:1900             *:*                                    11556
  UDP    [::1]:5353             *:*                                    4152
  UDP    [::1]:58757            *:*                                    11556
  UDP    [fe80::e4fe:764d:b564:9be7%8]:1900  *:*                                    11556
  UDP    [fe80::e4fe:764d:b564:9be7%8]:2177  *:*                                    18204
  UDP    [fe80::e4fe:764d:b564:9be7%8]:58756  *:*                                    11556
